"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"QT_APTOS";"QT_SECOES";"QT_SECOES_AGREGADAS";"QT_APTOS_TOT";"QT_SECOES_TOT";"QT_COMPARECIMENTO";"QT_ABSTENCOES";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS";"QT_VOTOS_BRANCOS";"QT_VOTOS_NULOS";"QT_VOTOS_LEGENDA";"QT_VOTOS_PENDENTES";"QT_VOTOS_ANULADOS";"HH_ULTIMA_TOTALIZACAO";"DT_ULTIMA_TOTALIZACAO"
"24/10/2019";"18:50:13";"2018";"2";"Eleição Ordinária";"1";"297";"ELEIÇÕES GERAIS ESTADUAIS 2018";"07/10/2018";"E";"PE";"PE";"PERNAMBUCO";"24953";"OROCÓ";"77";"3";"Governador";"11890";"36";"1";"11890";"36";"8984";"2906";"N";"6829";"391";"1764";"0";"0";"0";"16:14:08";"07/11/2018"
"24/10/2019";"18:50:13";"2018";"2";"Eleição Ordinária";"1";"297";"ELEIÇÕES GERAIS ESTADUAIS 2018";"07/10/2018";"E";"PE";"PE";"PERNAMBUCO";"25232";"POÇÃO";"55";"7";"Deputado Estadual";"9837";"29";"0";"9837";"29";"7338";"2499";"N";"5518";"467";"662";"691";"0";"0";"16:14:53";"07/11/2018"
"24/10/2019";"18:50:13";"2018";"2";"Eleição Ordinária";"1";"297";"ELEIÇÕES GERAIS ESTADUAIS 2018";"07/10/2018";"E";"PE";"PE";"PERNAMBUCO";"23418";"BOM CONSELHO";"61";"3";"Governador";"35609";"97";"12";"35609";"97";"24633";"10976";"N";"18907";"1188";"4538";"0";"0";"0";"16:14:13";"07/11/2018"
"24/10/2019";"18:50:13";"2018";"2";"Eleição Ordinária";"1";"297";"ELEIÇÕES GERAIS ESTADUAIS 2018";"07/10/2018";"E";"PE";"PE";"PERNAMBUCO";"25917";"TABIRA";"50";"6";"Deputado Federal";"19537";"67";"9";"19537";"67";"15405";"4132";"N";"12130";"877";"1381";"1017";"0";"0";"16:14:10";"07/11/2018"
"24/10/2019";"18:50:13";"2018";"2";"Eleição Ordinária";"1";"297";"ELEIÇÕES GERAIS ESTADUAIS 2018";"07/10/2018";"E";"PE";"PE";"PERNAMBUCO";"25658";"SÃO JOAQUIM DO MONTE";"132";"7";"Deputado Estadual";"16379";"56";"5";"16379";"56";"13099";"3280";"N";"9660";"761";"1684";"994";"0";"0";"16:14:09";"07/11/2018"
"24/10/2019";"18:50:13";"2018";"2";"Eleição Ordinária";"1";"297";"ELEIÇÕES GERAIS ESTADUAIS 2018";"07/10/2018";"E";"PE";"PE";"PERNAMBUCO";"26034";"TERRA NOVA";"78";"7";"Deputado Estadual";"7856";"26";"8";"7856";"26";"6581";"1275";"N";"5539";"186";"380";"476";"0";"0";"16:14:11";"07/11/2018"
"24/10/2019";"18:50:13";"2018";"2";"Eleição Ordinária";"1";"297";"ELEIÇÕES GERAIS ESTADUAIS 2018";"07/10/2018";"E";"PE";"PE";"PERNAMBUCO";"25453";"SALOÁ";"136";"5";"Senador";"13351";"46";"5";"13351";"46";"8913";"4438";"N";"12205";"1673";"3948";"0";"0";"0";"16:14:25";"07/11/2018"
"24/10/2019";"18:50:13";"2018";"2";"Eleição Ordinária";"1";"297";"ELEIÇÕES GERAIS ESTADUAIS 2018";"07/10/2018";"E";"PE";"PE";"PERNAMBUCO";"23000";"QUIXABA";"98";"6";"Deputado Federal";"5703";"20";"0";"5703";"20";"4692";"1011";"N";"3930";"147";"321";"294";"0";"0";"16:14:09";"07/11/2018"
"24/10/2019";"18:50:13";"2018";"2";"Eleição Ordinária";"1";"297";"ELEIÇÕES GERAIS ESTADUAIS 2018";"07/10/2018";"E";"PE";"PE";"PERNAMBUCO";"24716";"LAGOA DO OURO";"59";"3";"Governador";"10766";"33";"1";"10766";"33";"8092";"2674";"N";"6135";"339";"1618";"0";"0";"0";"16:14:17";"07/11/2018"
"24/10/2019";"18:50:13";"2018";"2";"Eleição Ordinária";"1";"297";"ELEIÇÕES GERAIS ESTADUAIS 2018";"07/10/2018";"E";"PE";"PE";"PERNAMBUCO";"23183";"LAGOA GRANDE";"137";"5";"Senador";"19177";"59";"4";"19177";"59";"14687";"4490";"N";"21572";"1750";"6052";"0";"0";"0";"16:14:20";"07/11/2018"
"24/10/2019";"18:50:13";"2018";"2";"Eleição Ordinária";"1";"297";"ELEIÇÕES GERAIS ESTADUAIS 2018";"07/10/2018";"E";"PE";"PE";"PERNAMBUCO";"23531";"BUENOS AIRES";"23";"3";"Governador";"10454";"32";"0";"10454";"32";"8881";"1573";"N";"6732";"396";"1753";"0";"0";"0";"16:14:53";"07/11/2018"
"24/10/2019";"18:50:13";"2018";"2";"Eleição Ordinária";"1";"297";"ELEIÇÕES GERAIS ESTADUAIS 2018";"07/10/2018";"E";"PE";"PE";"PERNAMBUCO";"24430";"IPOJUCA";"16";"3";"Governador";"71532";"195";"12";"71532";"195";"58432";"13100";"N";"40362";"4114";"13956";"0";"0";"0";"16:14:24";"07/11/2018"
"24/10/2019";"18:50:13";"2018";"2";"Eleição Ordinária";"1";"297";"ELEIÇÕES GERAIS ESTADUAIS 2018";"07/10/2018";"E";"PE";"PE";"PERNAMBUCO";"26255";"VICÊNCIA";"90";"3";"Governador";"21541";"69";"8";"21541";"69";"16941";"4600";"N";"12378";"902";"3661";"0";"0";"0";"16:14:13";"07/11/2018"
"24/10/2019";"18:50:13";"2018";"2";"Eleição Ordinária";"1";"297";"ELEIÇÕES GERAIS ESTADUAIS 2018";"07/10/2018";"E";"PE";"PE";"PERNAMBUCO";"24791";"MACAPARANA";"90";"6";"Deputado Federal";"19203";"59";"25";"19203";"59";"14709";"4494";"N";"11577";"864";"1418";"850";"0";"0";"16:14:15";"07/11/2018"
"24/10/2019";"18:50:13";"2018";"2";"Eleição Ordinária";"1";"297";"ELEIÇÕES GERAIS ESTADUAIS 2018";"07/10/2018";"E";"PE";"PE";"PERNAMBUCO";"24317";"IBIMIRIM";"128";"7";"Deputado Estadual";"20060";"63";"11";"20060";"63";"14556";"5504";"N";"12333";"515";"589";"1119";"0";"0";"16:14:15";"07/11/2018"
"24/10/2019";"18:50:13";"2018";"2";"Eleição Ordinária";"1";"297";"ELEIÇÕES GERAIS ESTADUAIS 2018";"07/10/2018";"E";"PE";"PE";"PERNAMBUCO";"24252";"GRANITO";"80";"7";"Deputado Estadual";"5574";"19";"7";"5574";"19";"4820";"754";"N";"3944";"165";"267";"444";"0";"0";"16:14:11";"07/11/2018"
